Plant name (English),Parent,Country,Region - analysis,Coordinates,Status,Start of operation,Estimated BF-BOF capacity (kt steel/y),Estimated EAF capacity (kt steel/y),Estimated DRI capacity (kt sponge iron/y),Abundant RES?,CCS available?,Cheap natural gas?,Industrial cluster?,Plant Technology in 2020,Source,Excel Tab
"Ansteel Group Chaoyang Steel & Iron Co., Ltd.","Anshan Steel Group Corporation 53.33%, H-shares 14.86%, other A-shares 31.81%",China,China,"41.528945, 120.369983",operating,2007,2000,0,0,1,1,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Minmetals Yingkou Medium Plate Co., Ltd.","China Minmetals Corporation 54.04%, Du Shuanghua (individual) 45.96%",China,China,"40.671136, 122.395441",operating,1972,8000,0,0,1,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Bengang Steel Plates Co., Ltd.","Benxi Steel Group Corporation 52.84%, other sharehAvg BF-BOF",China,China,"41.274132, 123.722099",operating,1955,5000,5000,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Benxi-Beiying Iron & Steel (Group) Co., Ltd.","State-owned Assets Supervision and Administration Commission of Liaoning Provincial People's Government 66.9%, Liaoning Social Security Fund Council 16.7%, other sharehAvg BF-BOF",China,China,"41.224814, 123.608374",operating,2002,9000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Lingyuan Iron & Steel Group Co., Ltd.",Chaoyang Municipal People's Government State-owned Assets Supervision and Administration Commission 100%,China,China,"41.271048, 119.41374",operating,1966,6000,0,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fushun New Steel Co., Ltd.","Zhang Zhixiang (individual) 39.98%, Fushun Municipal People's Government State-owned Assets Supervision and Administration Commission 29.28%, Fosun HAvg BF-BOF",China,China,"41.841223, 123.753895",operating,1958,3300,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Dongbei Special Steel Group Dalian Special Steel Co., Ltd.","Ningbo Meishan Bonded Port Jincheng Shazhou Equity Investment Co., Ltd. 42.99%, Wuhu Yinsheng Special Steel Investment Management Partnership (Limited Partnership) 31.57%, Bengang Steel Plates Co., Ltd. 10%, other sharehAvg BF-BOF",China,China,"39.193697, 122.057788",operating,1905,0,>0,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fushun Special Steel Co., Ltd.","Dongbei Special Steel Group Co., Ltd. 29.25%, Bank of China Co., Ltd. Fushun Branch 6.23%, other A-shares 64.52%",China,China,"41.838774, 123.806586",operating,1937,0,1500,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Houying Group Haicheng Iron and Steel Co., Ltd.","Haicheng Houying Economic and Trading Group Co., Ltd. 84.62%, He Zhusheng (individual) 15.38%",China,China,"40.690433, 122.713493",operating,1994,2000,0,0,1,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yingkou Iron & Steel Co., Ltd.",Liaoning Jiachen HAvg BF-BOF,China,China,"40.664651, 122.415057",operating,2010,4200,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Anshan Baode Iron & Steel Co., Ltd.","Anshan Baode Iron & Steel Co., Ltd. 100%：Zhang Tiehan 19.94%, Zhang Yongquan 19.94%, Zhang Weida 19.93%, Zhang Yufeng 10.05%, Wang Bangyu 10.05%, Zhang Yuwen 10.05%, Wang Siqi 10.05%",China,China,"41.173613, 122.945501",operating,1980,1800,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Ningxia Iron and Steel (Group) Co., Ltd.","Ningxia Chuangye Industrial & Trading Co., Ltd. 73.63%, other sharehAvg BF-BOF",China,China,"37.503054, 105.078348",operating,1958,1800,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xining Special Steel Co., Ltd.","Qinghai Province State-owned Assets Supervision and Administration Commission, at least 31%; other A-shares",China,China,"36.66856, 101.671414",operating,1964,800,800,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shaanxi Longmen Steel (Group) Co., Ltd.","Shaanxi Provincial People's Government State-owned Assets Supervision and Administration Commission 89.16%, Shaanxi Province People's Government 10.84%",China,China,"35.618466, 110.575788",operating,1958,4000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shaanxi Steel Group Hanzhong Iron and Steel Co., Ltd.","Shaanxi Province State-owned Assets Supervision and Administration Commission 79.93%, Shaanxi Province People's Government 9.85%, State-owned Assets Supervision and Administration Commission of Hanzhong Municipal Government 8.93%, other sharehAvg BF-BOF",China,China,"33.133989, 106.666589",operating,2009,3700,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shaanxi Lueyang Iron and Steel Co., Ltd.","Lueyang County Economic and Trade Bureau 43.89%, Employee Stock Ownership Committee of Shaanxi Dongling Industry and Trade Group Co., Ltd. 29. 24%, Villagers Committee of Dongling Village, Chencang Town, Jintai District, Baoji City, Shaanxi Province 12.57%, other sharehAvg BF-BOF",China,China,"33.323678, 106.167206",operating,2003,1000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shaanxi Huaxin Special Steel Group Co., Ltd.","Shaanxi Huaxin Special Steel Group Co., Ltd. 100%: Zhuo Baoqi 41.7%, Zhuo Baorong 28.28%, Liu Yong 15.85%, others 14.17%",China,China,"34.523278, 109.986042",operating,2001,0,1200,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Laiwu Iron & Steel Group Co., Ltd.","Shandong Province State-owned Assets Supervision and Administration Commission 56.36%, Shandong Guohui Investment Co., Ltd. 16.1%, Shandong Social Security Fund Council 8.05%, Industrial Bank Co., Ltd. 14.22%, Fujian Energy Group Co., Ltd. Liability company 1.64%, Xiamen International Trade Group Co., Ltd. 1.64%, other sharehAvg BF-BOF",China,China,"36.079801, 117.82691",operating,1970,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Iron and Steel Group Yongfeng Zibo Co., Ltd.","Shandong Province State-owned Assets Supervision and Administration Commission 35%, Shandong Guohui Investment Co., Ltd. 10%, Shandong Social Security Fund Council 5%, Yongfeng Group Co., Ltd. 50%",China,China,"36.906036, 118.111833",operating,2016,2000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Qingdao Special Iron and Steel Co., Ltd.","CITIC Pacific Special Steel Group Co., Ltd. 100%",China,China,"35.6296, 119.722335",operating,2013,2085,2085,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Rizhao Steel HAvg BF-BOF,Jinghua Rigang HAvg BF-BOF,China,China,"35.16535, 119.366671",operating,2003,14300,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Guangfu Group Co., Ltd.","Shandong Guangfu Group Co., Ltd. 100%: Zhang Guangfu 100%",China,China,"36.863145, 117.616918",operating,1983,1500,1500,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xiwang Metal Science Technology Co., Ltd.","Xiwang Group Co., Ltd. 100%",China,China,"36.928208, 117.694654",operating,2007,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Chuanyang Group Co., Ltd.","Shandong Yinzhan Trading Co., Ltd. 60.6061%, Gong Chuanyang (individual) 23.6364%, Li Jun (individual) 15.7576%",China,China,"36.894784, 117.888366",operating,2002,3000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Weifang Special Steel Group Co., Ltd.","Weifang Special Steel Group Co., Ltd. 100%: Yu Guangfu 16.00%, Wu Jibao 12.00%, Wu Jiyu 12.00%, Wu Jizhen 12%, Wufa Village 12%, Wu Fapu 12%, Wang Hongguang 12%, Wang Hai 12%",China,China,"36.644469, 119.238427",operating,1972,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Taishan Steel Group Co., Ltd.",Guangyang Antai HAvg BF-BOF,China,China,"36.22141, 117.627728",operating,1969,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shiheng Special Steel Group Co., Ltd.",Shiheng Special Steel HAvg BF-BOF,China,China,"36.229201, 116.533981",operating,2000,8150,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Shouguang Juneng Special Steel Co., Ltd.",Shandong Shouguang Juneneg HAvg BF-BOF,China,China,"36.9708932,118.9532504",operating,2003,1300,1300,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Luli Steel Co., Ltd.","Luli Group Co., Ltd. 48.9985%, other individual sharehAvg BF-BOF",China,China,"36.970875, 118.955444",operating,1993,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Fulun Iron and Steel Co., Ltd.",Shandong Xiangxin Investment HAvg BF-BOF,China,China,"36.308447, 117.540425",operating,2003,2800,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Linyi Jiangxin Iron and Steel Co., Ltd.","Huasheng Jiangquan Group Co., Ltd. 100%",China,China,"34.951117, 118.305389",operating,2003,2800,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Longsheng Iron and Steel Co., Ltd.","Shandong Longsheng Iron and Steel Co., Ltd. 100%: Wang Deyang 61.4315%, other individual sharehAvg BF-BOF",China,China,"36.891189, 118.187041",operating,2003,1800,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Minyuan Iron and Steel Co., Ltd.","Shandong Minyuan Iron and Steel Co., Ltd. 100%: Lin Shunguan 25%, Lin Chunhui 22.5%, Liu Yiquan 18%, Chen Yiping 11%, other individual sharehAvg BF-BOF",China,China,"36.728409, 117.426582",operating,2003,1800,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yantai Walsin Stainless Steel Co., Ltd.",Huaxin Special Steel HAvg BF-BOF,China,China,"37.549539, 121.276519",operating,2007,0,>0,0,0,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Laiwu Iron and Steel Group Yinshan Section Steel Co., Ltd.","Shandong Iron and Steel Group Co., Ltd. 80.5165%, Industrial Bank Co., Ltd. 14.22%, Fujian Energy Group Co., Ltd. 1.64%, Xiamen International Trade Group Co., Ltd. 1.64%, other sharehAvg BF-BOF",China,China,"36.106143, 117.820108",operating,2003,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Laigang Yongfeng Steel Co., Ltd.","Yongfeng Group Co., Ltd. 33.1919%, Qihe Zhongxin Investment Co., Ltd. 32.4356%, Shandong Iron and Steel Group Co., Ltd. 27.68%, Fujian Xingyin Equity Investment Management Co., Ltd. 6.70%",China,China,"36.813545, 116.757697",operating,2004,2700,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baoshan Iron and Steel Co., Ltd. Headquarters","Baosteel Group Corporation 48.55%, Wugang Group Co., Ltd. 13.39%, other A-shares 38.06%",China,China,"31.41623, 121.440087",operating,1977,10000,10000,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baosteel Special Steel Co., Ltd.",Baosteel Group Corporation 100%,China,China,"31.379422, 121.484652",operating,1958,0,1000,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Taiyuan Iron & Steel (Group) Co., Ltd.",Shanxi Province State-owned Assets Supervision and Administration Commission 100%,China,China,"37.931488, 112.539321",operating,1997,5000,5000,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Zhongyang Iron and Steel Co., Ltd.","Shanxi Zhongyang Iron & Steel Co., Ltd. 100%: Yuan Yuzhu 83.33%, Yang Rui'e 16.67%",China,China,"37.370796, 111.161118",operating,1992,1000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wenshui Haiwei Steel Co., Ltd.","Wenshui Haiwei Iron and Steel Co., Ltd 100%: Wang Xianglian 50%, Li Yongqi 50%",China,China,"37.469884, 112.060567",operating,2003,3650,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Xintai Iron and Steel Co., Ltd.",Shanxi Antai HAvg BF-BOF,China,China,"37.075017, 111.985148",operating,2005,3000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xiangfen County Xingyuan Steel Group Co., Ltd.","Xiangfen County Xingyuan Steel Group Co., Ltd. 100%: Li Qiuyan 76.5019%, Li Jian 22.1680%, Li Hegang 1.3301%",China,China,"35.880324, 111.387956",operating,2002,2000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Tongcai Industry and Trade Co., Ltd.","Shanxi Jianbang Group Co., Ltd. 51.4286%, other sharehAvg BF-BOF",China,China,"35.694321, 111.429381",operating,2002,2800,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Changzhi Xingbao Steel Co., Ltd.","Changzhi Xingbao Steel Co., Ltd. 100%: Li Wenbao 85%, Chen Chao 15%",China,China,"36.332449, 113.15509",operating,2002,5000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Hongda Iron and Steel Group Co., Ltd.","Shanxi Hongda Iron and Steel Group Co., Ltd. 100%: Zhang Huimin 96.4993%, Zhang Peng 3.5007%",China,China,"35.701895, 110.786826",operating,1993,4000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hejin Huaxinyuan Steel & Iron Co., Ltd.","Hejin Huaxinyuan Steel & Iron Co., Ltd. 100%: Yang Fengshan 96.52%, others 3.48%",China,China,"35.605506, 110.652056",operating,2003,1500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Gaoyi Steel Co., Ltd.","Shanxi Gaoyi Steel Co., Ltd. 100%: Zhang Zhehua 80%, Chu Huihu 20%",China,China,"35.586841, 111.258436",operating,1997,5945,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Licheng Taihang Iron & Steel Co., Ltd.","Licheng Xintaihang Iron and Steel Group Co., Ltd. 51%, Li Zhaoxi (individual) 47.6190%, Xue Junxing (individual) 0.9524%, Lin Yibin (individual) 0.4286%",China,China,"36.472303, 113.344155",operating,2000,1500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Changxin Industrial Co., Ltd.","Shanxi Changxin Industrial Co., Ltd. 100%: Pan Lubiao 40%, Yuan Yonggang 20%, Guo Wenhui 20%, Zhang Pingfang 10%, Wang Weihong 10%",China,China,"36.326589, 113.117181",operating,1989,1500,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Zhongsheng Iron and Steel Co., Ltd.","Henan Yaxin Iron and Steel Industry Co., Ltd. 51%, Li Jingzhong (individual) 11.28%, others 37.72%",China,China,"35.727776, 111.330122",operating,2007,1700,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xiangfen County Xinjinshan Special Steel Co., Ltd.","Fujian Huaya Group Co., Ltd. 64.0909%, others 35.9091%",China,China,"35.934831, 111.49707",operating,2003,2200,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jincheng Fusheng Iron & Steel Co., Ltd.",Shanxi Jincheng Steel HAvg BF-BOF,China,China,"35.662985, 112.882395",operating,2002,6000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Tongde Xinghua Special Steel Co., Ltd.","Shanxi State-owned Capital Operation Co., Ltd. 31.93%, Beijing Qijun Trading Co., Ltd. 26%, Tianjin Bohai Runde Steel Group Co., Ltd. 24.99%, China Cinda Asset Management Co., Ltd. 14.76%, other sharehAvg BF-BOF",China,China,"40.183517, 113.305462",operating,2005,0,0,0,1,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Jianlong Industrial Co., Ltd.","Beijing Jianlong Investment Co., Ltd. 56.63%, other sharehAvg BF-BOF",China,China,"35.417405, 111.303919",operating,2000,6000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shougang Changzhi Iron and Steel Co., Ltd.","Beijing Municipal People's Government State-owned Assets Supervision and Administration Commission 90%, Changzhi Municipal People's Government State-owned Assets Supervision and Administration Commission 10",China,China,"36.358865, 113.054503",operating,1946,3600,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jinye Iron and Steel Group Co., Ltd.","Jinye Iron and Steel Group Co., Ltd. 100%: Han Baoguo 68.95%, Han Weiguo 21.05%, Zhang Yukun 10%",China,China,"36.148131, 113.209523",operating,2003,1900,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Panzhihua Steel Group Panzhihua Steel Vanadium Co., Ltd.","Ansteel Group Corporation 94.37%, others 5.63%",China,China,"26.565265, 101.673737",operating,1965,5000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Pangang Group Xichang Steel and Vanadium Co., Ltd.","Ansteel Group Corporation 92.59%, others 7.41%",China,China,"27.74799, 102.20517",operating,2011,4500,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chengyu Vanadium & Titanium Technology Co., Ltd.","Prime Empire, Ltd. 50.1729%, Sichuan Chuanwei Group Co., Ltd. 37.0231%, Trade Union of Sichuan Chuanwei Group Co., Ltd. 9.5343%, other sharehAvg BF-BOF",China,China,"29.732143, 104.504339",operating,1929,3100,0,0,0,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tianjin Tiantie Group Co., Ltd.","Tianjin Bohai State-owned Capital Investment Co., Ltd. 100%",China,China,"36.58967, 113.745792",operating,1969,3800,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tianjin Iron & Steel Group Co., Ltd.","Tianjin Bohai State-owned Capital Investment Co., Ltd. 100%",China,China,"39.031083, 117.499246",operating,1935,7500,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tianjin Pipe Group Co., Ltd.",Two individual corporate sharehAvg BF-BOF,China,China,"39.034002, 117.486798",operating,1993,0,>0,0,0,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tianjin Rockcheck Steel Group Co., Ltd.",Tianjin Rongcheng Xiangtai Investment HAvg BF-BOF,China,China,"38.970638, 117.495794",operating,2001,5000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tianjin Tiangang United Special Steel Co., Ltd.","Tianjin Bohai State-owned Capital Investment Co., Ltd. 100%",China,China,"39.300258, 117.800231",operating,2009,4500,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chongli Steel Manufacturing Co., Ltd.","Tianjin Iron Works 77.65%, others 22.35%",China,China,"36.602468, 113.755744",operating,2003,1000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baosteel Group Xinjiang Bayi Iron & Steel Co., Ltd.","China Baowu Iron and Steel Group Co., Ltd. 58.6931%, Xinjiang Investment and Development (Group) Co., Ltd. 10.3675%, Industrial and Commercial Bank of China Limited 10.0416%, Bank of China Co., Ltd. 7.6890%, Agricultural Bank of China Co., Ltd. 7.1094%, Bank of Communications Co., Ltd. 3.0595%, China Construction Bank Corporation 3.0263%, Xinjiang Uygur Autonomous Region Finance Guarantee Co., Ltd. 0.0137%",China,China,"43.852147, 87.304639",operating,1951,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinxing Ductile Iron Pipes Xinjiang Co., Ltd.","China Cinda Asset Management Co., Ltd. 72.0595%, Xinxing Cathay Group Co., Ltd. 27.8940%, Jiutian Century (Beijing) Asset Management Co., Ltd. 0.0465%",China,China,"42.333321, 86.302481",operating,2010,3000,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinjiang Kunyu Iron and Steel Co., Ltd.",Hong Kong Wing Tai HAvg BF-BOF,China,China,"44.404189, 84.966753",operating,2015,1500,0,0,0,1,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinjiang Yili Iron and Steel Co., Ltd.","China Baowu Iron and Steel Group Co., Ltd. 11.74%, Xinjiang Investment and Development (Group) Co., Ltd. 2.07%, other state-owned enterprise sharehAvg BF-BOF",China,China,"43.526808, 83.294323",operating,1958,2000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinjiang Xin'an Special Steel Co., Ltd.","Xinjiang Xin'an Special Steel Co., Ltd. 100%: Yang Weian 70%, Hong Zhongbin 30%",China,China,"44.27441, 86.573346",operating,2011,0,1000,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinjiang Da'an Special Steel Co., Ltd.","Hami Da'an Investment Co., Ltd. 98.3333%, Xinjiang Production and Construction Corps Agricultural Construction 13th Division State-owned Assets Management Co., Ltd. 1.6667%",China,China,"42.700465, 93.542466",operating,2011,1100,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"WISCO Group Kunming Steel Co., Ltd. Anning Branch","China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel HAvg BF-BOF",China,China,"24.909695, 102.48347",operating,2012,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"WISCO Group Kunming Steel Co., Ltd. Honghe Iron and Steel Company","China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel HAvg BF-BOF",China,China,"23.470733, 103.272784",operating,2004,2000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"WISCO Group Kunming Steel Co., Ltd. Yuxi Xinxing Steel Company","China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel HAvg BF-BOF",China,China,"24.249024, 102.521747",operating,1999,2000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"WISCO Group Kunming Steel Co., Ltd. New District Branch","China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel HAvg BF-BOF",China,China,"24.953261, 102.378082",operating,2012,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co., Ltd.","Yunnan Yuxi Iron and Steel Group Co., Ltd. 51%, Yunnan Yuxi Yukun Iron and Steel Group Co., Ltd. 26.27%, Yuxi Huixi Metal Casting Products Co., Ltd. 10.22%, Yuxi Fuyu Iron and Steel Co., Ltd. 6.88%, Hua Ningxian Shunchang Industry and Trade Co., Ltd. 3.75%, Yunnan Taibiao Jinggong Foundry Co., Ltd. 1.88%",China,China,"24.465884, 102.543682",operating,2000,4600,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yunnan Desheng Iron and Steel Co., Ltd.","Yunnan Desheng Logistics Co., Ltd. 42.0787%, Song De'an (individual) 29.5399%, Leshan Zhonglianya Industrial Co., Ltd. 28.3815%",China,China,"25.142516, 102.077727",operating,2000,1500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co., Ltd.","Yunnan Qujing Shuangyou Iron and Steel Co., Ltd. (25%), Yunnan Qujing Yuegang HAvg BF-BOF",China,China,"25.45543, 103.547242",operating,2013,3000,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yunnan Qujing Iron and Steel Group Fenghuang Steel Co., Ltd.","Yunnan Qujing Shuangyou Iron and Steel Co., Ltd. 25%, Yunnan Qujing Yuegang HAvg BF-BOF",China,China,"26.275342, 104.168311",operating,2013,0,1200,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Quzhou Yuanli Metal Products Co., Ltd.","Zhejiang Yuanli Metal Product Group Co., Ltd. 100%",China,China,"28.893407, 118.867125",operating,1991,5000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Ningbo Iron & Steel Co., Ltd.","Hangzhou Iron and Steel Group Co., Ltd. 47.81%, other A-shares 52.19%",China,China,"29.918776, 121.876423",operating,2003,4000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Huzhou Shengtelong Metal Products Co., Ltd.","Zhejiang Fugang Metal Product Co., Ltd. 100%： Zhu Huojiang 38.3723%, Wu Jianping 25.8669%, Zhu Bairong 25.2512%, Zhu Xingen 3.2979%, Zhu Xijiang 3.2979%, Yan Jianrong 3.2979%, Wu Huili 0.6157%",China,China,"30.835454, 120.259538",operating,2012,0,2000,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guangxi Iron and Steel Group Co., Ltd.","Guangxi Liuzhou Iron and Steel Group Co., Ltd. 81.4806%, other sharehAvg BF-BOF",China,China,"21.580723, 108.400896",operating,2005,10000,0,0,1,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
